row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,relation_integrated,display_relation,x_id,x_type,x_name,x_source,y_id,y_type,y_name,y_source,entity1_resolve_method,entity2_resolve_method,already_in_base_kg
0,Canavan,20260508-Canavan_final.csv,Canavan disease,leukodystrophy,disease_disease,35187608,disease_disease,parent-child,10079_16781_16207,disease,Canavan disease,MONDO_grouped,19046,disease,leukodystrophy,MONDO,name,name,True
1,Canavan,20260508-Canavan_final.csv,Canavan disease,macrocephaly,disease_phenotype_positive,35187608,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,256,effect/phenotype,Macrocephaly,HPO,name,name,True
2,Canavan,20260508-Canavan_final.csv,Canavan disease,neurologic impairment,disease_phenotype_positive,35187608,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,2344,effect/phenotype,Progressive neurologic deterioration,HPO,name,suggested_name,False
3,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_protein,35637731,disease_protein,associated with,10079_16781_16207,disease,Canavan disease,MONDO_grouped,443,gene/protein,ASPA,NCBI,name,name,True
4,Canavan,20260508-Canavan_final.csv,Canavan disease,ASPA,disease_phenotype_positive,35929936,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,443,gene/protein,ASPA,NCBI,name,name,False
5,Canavan,20260508-Canavan_final.csv,Canavan disease,hypotonia,disease_phenotype_positive,35929936,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,1252,effect/phenotype,Hypotonia,HPO,name,name,True
6,Canavan,20260508-Canavan_final.csv,Canavan disease,drowsiness,disease_phenotype_positive,35929936,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,2329,effect/phenotype,Drowsiness,HPO,name,name,False
7,Canavan,20260508-Canavan_final.csv,Canavan disease,apathy,disease_phenotype_positive,35929936,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,741,effect/phenotype,Apathy,HPO,name,name,False
8,Canavan,20260508-Canavan_final.csv,Canavan disease,abnormal myelination,disease_phenotype_positive,35929936,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,12447,effect/phenotype,Abnormal myelination,HPO,name,name,False
9,Canavan,20260508-Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,37601414,disease_disease,parent-child,19046,disease,leukodystrophy,MONDO,10079_16781_16207,disease,Canavan disease,MONDO_grouped,name,name,True
