entity_name,entity_type,accepted_in_second_search,suggested_name,observed_statuses
1.02 kb deletion on exons 7,protein/gene,no,,
1.02 kb deletion on exons 8,protein/gene,no,,
966 bp deletion,protein/gene,no,,
abnormal activated microglial cell,phenotype,no,,
abnormal palmitoylation,phenotype,no,,
abnormal storage material in myocardium,phenotype,no,,
absented vision loss,phenotype,no,,
accumulation of ceroid lipofuscins,phenotype,no,,
accumulation of ceroid lipopigment,phenotype,no,,
accumulation of glycerophosphodiesters,phenotype,no,,
accumulation of lipofuscin granules,phenotype,no,,
accumulation of lipoprotein aggregates,phenotype,no,,
accumulation of lysosomal storage,phenotype,no,,
accumulation of lysosomal storage bodies,phenotype,no,,
accumulation of lysosomal storage deposits,phenotype,no,,
accumulations of autofluorescent inclusions,phenotype,no,,
acidified drinking water,exposure,no,,
activation of lysosomal proteases,biological_process,no,,
acylating the precursor lipid phosphatidylglycerol,biological_process,no,,
adeno-associated virus-mediated gene therapy,drug,no,,
adult-onset neuronal ceroid lipofuscinoses,disease,yes,neuronal ceroid lipofuscinosis,C0751383
adult-onset neuronal ceroid lipofuscinosis,disease,yes,neuronal ceroid lipofuscinosis,C0751383
against neurodegeneration,phenotype,yes,Cerebral cortical neurodegeneration,C1859863
altered axonal growth,biological_process,no,,
altered calcium signaling,phenotype,no,,
altered glycerophospholipid metabolism,phenotype,no,,
altered protein secretion,biological_process,no,,
altered sphingolipid metabolism,phenotype,no,,
ameliorated enteric neuron loss,phenotype,no,,
ameliorated neurodegeneration,phenotype,no,,
ameliorated neuropathology,phenotype,no,,
amelioration of cholesterol accumulation,phenotype,no,,
amelioration of lipofuscin accumulation,phenotype,no,,
amelioration of the formation of abnormal vacuoles,phenotype,no,,
anterograde vesicular trafficking,biological_process,no,,
anti-diabetec drug,drug,no,,
"anxiety,mood disturbances,fear",phenotype,no,,
anxious/fear circuit,phenotype,no,,
attention may have limited abilities,phenotype,no,,
attenuated lysosomal hypertrophy,phenotype,no,,
attenuated neuroinflammation,biological_process,no,,
attenuated pathological phenotype,phenotype,no,,
autofluorescent intracellular inclusions,pathology,no,,
autofluorescent lipofuscin,phenotype,yes,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642
autofluorescent lysosomal storage material accumulation,phenotype,no,,
autofluorescent storage granules,pathology,no,,
autophagic defects,phenotype,no,,
autophagic flux,biological_process,no,,
autophagosome-related factor,cellular_component,no,,
autophagy defects,phenotype,no,,
autophagy impairment,biological_process,no,,
autophagy pathway activation,phenotype,no,,
autophagy-lysosomal pathway,biological_process,no,,
averting skeletal muscle atrophy,phenotype,no,,
behavioural issue,phenotype,no,,
bilateral progressive retinal thinning,phenotype,no,,
bis(monoacylglycero)phosphate deficiency,protein/gene,no,,
bull’s eye maculopathy,phenotype,no,,
c.1086del,mutation,no,,
c.461-280_677 + 382del966,mutation,no,,
c.768_769dup,mutation,no,,
c.944dup,mutation,no,,
cerebral accumulation of lipopigments,phenotype,no,,
cerebral neurodegenerative disease,disease,no,,
ceroid lipofuscin accumulation,phenotype,no,,
childhood dementia,phenotype,no,,
cholesterol accumulation in microglia,phenotype,no,,
cholesteryl ester accumulation,phenotype,no,,
choreo-athetotic movements,phenotype,no,,
cis-prenyltransferase activity,molecular_function,no,,
classic storage material accumulation,phenotype,no,,
clearance of storage,phenotype,no,,
clearanced protein aggregates,phenotype,no,,
cognitive ability loss,phenotype,no,,
combination in trans of two severe variants,phenotype,no,,
combination of miglustat and trehalose,drug,no,,
completely rescued tremor,phenotype,no,,
cone system dysfunction,phenotype,no,,
conjunctival endothelial cells,anatomy,no,,
control clathrin-dependent endocytosis,biological_process,no,,
correction of protein deficiency,biological_process,no,,
cysteine palmitoyl thioesterase,protein/gene,no,,
cysteine string protein α,protein/gene,no,,
decline in cognitive and motor capacities,phenotype,no,,
decline in memory,phenotype,no,,
declined sit-to-stand performance,phenotype,yes,Delayed ability to stand,C4476709
decreased bis(monoacylglycero)phosphate species,phenotype,no,,
decreased cell viability,phenotype,no,,
decreased chloride permeability,phenotype,no,,
decreased grey matter volume,phenotype,no,,
decreased in lipid droplets,phenotype,yes,Increased intramyocellular lipid droplets,C4020730
decreased in the dimensions of the lipid droplet-like structures,phenotype,no,,
decreased lysosomal bis(monoacylglycero)phosphate,biological_process,no,,
decreased myofibril nuclei,cellular_component,no,,
decreased seizure frequency,phenotype,no,,
decreased synapse density,phenotype,no,,
decreased the number of lipid droplet-like structures,phenotype,no,,
decreased visual tracking,phenotype,no,,
decreased volumes of basal ganglia,phenotype,no,,
decreased volumes of cerebellar gray matter,phenotype,no,,
decreased volumes of hippocampus,phenotype,no,,
decreased volumes of supratentorial cortical gray matter volume,phenotype,no,,
decreased volumes of supratentorial white matter,phenotype,no,,
decreased volumes of thalamus,phenotype,no,,
decreasing cortical thicknesses,phenotype,no,,
decreasing intracranial volumes,phenotype,no,,
defect in photoreceptor to bipolar cell synaptic connectivity,phenotype,no,,
defected lipid droplet formation in microglia,phenotype,no,,
defective autophagic flow,phenotype,no,,
defective autophagic lysosomal reformation,biological_process,no,,
defective phagocytosis of photoreceptor outer segments,biological_process,no,,
defective protein degradation,phenotype,no,,
degradation of unfolded or abnormal intracellular proteins,biological_process,no,,
degrading cysteine residues,biological_process,no,,
delayed functional decline,phenotype,no,,
dementia in children,phenotype,no,,
deposition of ceroid lipopigment,phenotype,no,,
deposition of light-brown pigments,pathology,no,,
destabilize the protein structure,phenotype,no,,
deteriorating heart function,phenotype,no,,
diffuse acanthocytes,phenotype,no,,
diffuse neurodegeneration,phenotype,no,,
diminished neuronal loss,phenotype,no,,
disrupt the alpha helix,phenotype,yes,Overfolded helix,C1837731
disrupted calcium homeostasis,biological_process,no,,
disturbed autophagic flow,phenotype,no,,
disturbed somatosensory modulation,phenotype,no,,
downregulation of proteins related to axon guidance,phenotype,no,,
downregulation of proteins related to endocytosis,phenotype,no,,
dysfucntional lipid metabolism,biological_process,no,,
early loss of cone function,phenotype,no,,
early loss of rod function,phenotype,no,,
early-stage neuroinflammation,phenotype,no,,
elevated glycerophosphoinositol,protein/gene,no,,
endo components,protein/gene,no,,
endolysosomal chloride channel,molecular_function,no,,
endolysosomal chloride currents,biological_process,no,,
endoplasmic reticulum non-glycosylated transmembrain,protein/gene,no,,
enhanced cell adhesion,phenotype,no,,
enhanced hippocampal γ oscillation,phenotype,no,,
enhanced inhibitory synaptic transmission,biological_process,no,,
enhanced lysosomal exocytosis,biological_process,no,,
enlarged endolysosomes,phenotype,no,,
enteric glia changes,phenotype,no,,
enteric neuron loss,phenotype,no,,
epilepsy of unknown etiology,phenotype,no,,
epithelial-mesenchymal transition pathway enrichment,protein/gene,no,,
epithelial-mesenchymal transition pathway inducer,protein/gene,no,,
exocytic components,protein/gene,no,,
exon-skipping antisense oligonucleotides,drug,no,,
failed autophagy,phenotype,no,,
fatal neurodegeneration,disease,no,,
focal right lower limb dystonia,phenotype,no,,
general proprioceptive ataxia,phenotype,no,,
genetic progressive encephalopathies with myoclonus,disease,yes,myoclonic encephalopathy in non-progressive disorder,C4755298
glucosylsphingosine 18:1 accumulation,phenotype,no,,
glycerophosphodiester release defect,biological_process | protein/gene,no,,
glycerophosphodiesters accumulation,phenotype,no,,
habitual seizures,phenotype,no,,
haploinsufficiency of the progranulin,molecular_function,no,,
"heavy metal toxicity (manganese, iron, zinc)",exposure,no,,
heavy metal toxicity sensitivity,biological_process,no,,
heterozygous variants c.544_545del,protein/gene,no,,
high-dose intravenous immunoglobulin,drug,no,,
hippocampal dysfunction,phenotype,no,,
homozygous variant c.316dup,mutation,no,,
hydrolized acyl-phosphatidylglycerol,biological_process,no,,
hypersensitivity to pro-convulsive drugs,phenotype,no,,
hyposensitivity to abrupt light changes,phenotype,no,,
immune cell increase,phenotype,no,,
impaired autophagy,phenotype,no,,
impaired carnitine biosynthesis,phenotype,no,,
impaired long-term potentiation,phenotype,no,,
impaired myelin integrity,phenotype,no,,
impaired prehension,phenotype,no,,
impairment locomotion,phenotype,no,,
improved locomotor activities,phenotype,no,,
improved lysosomal pathology,phenotype,no,,
improved motor function,phenotype,no,,
improved neural network activity,phenotype,no,,
improved neuroinflammation,phenotype,no,,
improved neuronal survival,phenotype,no,,
improved social behavior,phenotype,no,,
increase in lysosomal-related proteins,phenotype,no,,
increase in many ribosomal subunit proteins,phenotype,no,,
increase in the volume of the ventricular system,phenotype,no,,
increased astrogliosis,phenotype | protein/gene,yes,Basal ganglia gliosis,C2750915
increased atypical muscle activity,phenotype,no,,
increased autophagic flux,biological_process,no,,
increased autophagic vacuoles,cellular_component,no,,
increased expression of choroid plexus genes,phenotype,no,,
increased hydrolase in lysosome,biological_process,no,,
increased life span,phenotype,no,,
increased lysosomal genes,phenotype,no,,
increased microgliosis,phenotype,no,,
increased motor deficiency,phenotype,no,,
increased overall lysosomal proteolysis,biological_process,no,,
increased oxysterol-binding protein,protein/gene,no,,
increased pro-inflammatory cytokines,phenotype,no,,
increased saposin expression,phenotype,no,,
increased sphingomyelin synthesis,biological_process,no,,
increased volume of lateral ventricle,phenotype,no,,
induced exon skipping,biological_process | phenotype,no,,
inherited lysosomal storage disorders,disease,no,,
inherited neurodegenerative diseases,disease,no,,
inherited neurodegenerative lysosomal storage diseases,disease,no,,
inherited retinal diseases,disease,no,,
inhibit lysosomal phospholispases,protein/gene,no,,
inositol monophosphatase inhibition,molecular_function,no,,
intense glial activation,phenotype,no,,
interictal focal epileptiform discharges,phenotype,no,,
intestinal stem cell activation,biological_process,yes,intestinal stem cell homeostasis,C3549197
intracellular accumulation of auto-fluorescent lipopigment,phenotype,no,,
intracerebroventricular enzyme replacement therapy,Gene therapy | drug,no,,
intronic splice variant,phenotype,no,,
isolated retinal degeneration,phenotype,no,,
isolated retinal dystrophy,disease,no,,
language delay/regression,phenotype,no,,
late-infantile form of neuronal ceroid lipofuscinosis,disease,yes,infantile neuronal ceroid lipofuscinosis,C0268281
late-infantile neuronal ceroid lipofuscinoses,disease,yes,infantile neuronal ceroid lipofuscinosis,C0268281
late-onset lysosomal storage disease,disease,no,,
late-onset progressive ataxia,phenotype,yes,sporadic adult-onset ataxia of unknown etiology,C4518339
lateinfantile-onset psychomotor retardation,phenotype,no,,
learning and memory impairment,phenotype,no,,
lipid dysregulation reduction,phenotype,no,,
lipid perturbation,biological_process,no,,
lipofuscin aggregate degradation,biological_process,no,,
lipofuscin aggregate reduction,phenotype,no,,
lipofuscin formation,biological_process,no,,
localised macular ellipsoid zone disruption,pathology,no,,
longer survivor,phenotype,no,,
loss of bipolar cells,phenotype,no,,
loss of control over defecation,phenotype,no,,
loss of control over urination,phenotype,no,,
loss of dopamine transporter,phenotype,no,,
loss of enzymatic activity,phenotype,no,,
loss of muscular tone,phenotype,no,,
loss of progranulin,molecular_function,no,,
loss of retinal cell types,phenotype,no,,
loss of the inner nuclear layer,phenotype,no,,
low plasma carnitine concentrations,phenotype,no,,
lower electrophysical activity,phenotype,no,,
lysophosphatidylglycerol accumulation,biological_process,no,,
lysosoma dysfuntion,phenotype,no,,
lysosomal accumulation of ceroid lipofuscin,phenotype,no,,
lysosomal accumulation of fluorescent storage material,phenotype,no,,
lysosomal chloride channel,biological_process,no,,
lysosomal chloride conductance,biological_process,no,,
lysosomal cholesterol homeostasis,biological_process,no,,
lysosomal cholesterol storage disorder,disease,no,,
lysosomal depalmitoylation enzyme,protein/gene,no,,
lysosomal dysfunction,biological_process | phenotype,no,,
lysosomal globotriaosylceramide accumulation,biological_process,no,,
lysosomal glycerophosphodiester accumulation,biological_process,no,,
lysosomal ion homeostasis,biological_process,no,,
lysosomal lipofuscin accumulation,biological_process,no,,
lysosomal storage accumulation,phenotype,no,,
lysosomal storage bodies,phenotype,no,,
lysosomal storage of undigested cargo,phenotype,no,,
lysosomal-mitochondrial axis,biological_process,no,,
lysosome dysfunction reduction,phenotype,no,,
lysosome's degradative capacity,biological_process,no,,
macroautophagic defects,phenotype,no,,
macular ellipsoid zone disruption,phenotype,no,,
manifesting developmental regression,phenotype,no,,
melanin precursor uptake,biological_process,no,,
membrane-bound vacuoles containing diverse storage material,phenotype,no,,
menace response deficits,phenotype,no,,
microglial cell bodies,cellular_component,no,,
microgliosis reduction,phenotype,no,,
milasen,drug,no,,
minor immune or inflammatory stimulus,phenotype,no,,
mitochondrial reactive oxygen species,molecular_function,yes,reactive oxygen species metabolic process,C3156654
modifying cysteine residues,biological_process,no,,
mood-related concerns,phenotype,no,,
motor decline,phenotype,no,,
motor disease signs,phenotype,no,,
